,hotel_name,area,price
0,AZIMUT Hotel City South Berlin,Neukölln,117
1,Adele Designhotel,Pankow,144
2,Adina Apartment Hotel Berlin CheckPoint Charlie,Mitte,229
3,All In Hostel / Hotel Berlin,Berlin,26
4,Amc Apartments Ku Damm,Charlottenburg-Wilmersdorf,293
5,Angleterre Hotel,Berlin,227
6,Aparthotel-Christie,Berlin,311
7,Axel Hotel Berlin - Adults Only,Berlin,198
8,Bed'n'Work Apartment Friedrichshain,Berlin,119
9,Berlin Marriott Hotel,Mitte,508
10,Bett & Buch Hotel,Berlin,81
11,Boutique Hotel Fährhaus,Spandau,150
12,CHECK IN HOTEL,Berlin,89
13,City Guesthouse Pension Berlin,Pankow,125
14,City landmark near Checkpoint Charlie,Berlin,434
15,Come Inn Berlin Kurfürstendamm,Charlottenburg-Wilmersdorf,318
16,Design Hostel P182,Berlin,55
17,Die Botschaft,Lichtenberg,58
18,DämeritzSeehotel,Hessenwinkel,109
19,Enjoy Hotel Berlin City Messe,Charlottenburg-Wilmersdorf,226
20,Erlanger Hof,Neukölln,112
21,Excellent-Apartments Kreuzberg,Berlin,95
22,Exe Hotel Klee Berlin Excellence Class,Berlin,195
23,Good Morning + Berlin City East,Lichtenberg,93
24,Gorki Apartments Berlin,Mitte,478
25,Grand Hostel Berlin Classic,Berlin,67
26,Grimms Hotel Berlin Mitte,Mitte,193
27,Grimms Potsdamer Platz,Mitte,245
28,Hapimag Resort Berlin Zoo,Mitte,258
29,Happy Bed Hostel,Berlin,79
30,HappyGoLucky Hotel & Hostel Schöneberg,Berlin,99
31,Haus am Wald mit Garten in Tegel Ruhige Lage Seenähe & Rent an Escooter,Berlin,660
32,Henri Hotel - Berlin Kurfürstendamm,Charlottenburg-Wilmersdorf,315
33,Holiday Inn Berlin - City East Side,Berlin,173
34,Holiday Inn Berlin City Center East Prenzlauer Berg,Pankow,193
35,Holiday-Apartments Frankfurter Allee 98,Berlin,184
36,Hollywood Media Hotel,Charlottenburg-Wilmersdorf,262
37,Honigmond Boutique Hotel Berlin-Mitte,Mitte,189
38,Hostelo Berlin Mitte,Mitte,85
39,Hotel & Apartments Zarenhof Berlin Prenzlauer Berg,Pankow,179
40,Hotel Buchholz,Pankow,116
41,Hotel De Ela,Berlin,106
42,Hotel Helle Mitte Berlin,Berlin,58
43,Hotel Klassik Berlin,Berlin,108
44,Hotel MANI by AMANO Group,Mitte,209
45,Hotel Metropolitan Berlin,Charlottenburg-Wilmersdorf,116
46,Hotel Müggelsee Berlin,Berlin,94
47,Hotel PLUS Berlin,Berlin,137
48,Hotel Pankow,Pankow,103
49,Hotel Pension Rheingold,Charlottenburg-Wilmersdorf,198
50,Hotel Riu Plaza Berlin,Berlin,278
51,Hotel Zarenhof Friedrichshain,Berlin,160
52,IBB Blue Hotel Adlershof Berlin-Airport,Berlin,98
53,INNSiDE by Melia Berlin Mitte,Mitte,192
54,Insor,Berlin,80
55,JUGENDHERBERGE BERLIN - AM WANNSEE,Berlin,49
56,Kiez Hostel Berlin,Berlin,61
57,Living Hotel Weißensee,Pankow,132
58,Lux 11 Berlin Mitte,Mitte,393
59,Luxoise Apartments Berlin Friedrichshain,Berlin,126
60,M I N I T E L,Neukölln,351
61,MEININGER Hotel Berlin Airport,Berlin,84
62,MEININGER Hotel Berlin East Side Gallery,Berlin,118
63,MEININGER Hotel Berlin Tiergarten,Mitte,205
64,Max Brown Kudamm,Charlottenburg-Wilmersdorf,278
65,Mercure Hotel Berlin am Alexanderplatz,Mitte,186
66,Metropol Hostel Berlin,Berlin,122
67,Michelberger Hotel Berlin,Berlin,226
68,Michels Apart Hotel Berlin,Charlottenburg-Wilmersdorf,292
69,Mikon Eastgate Hotel,Mitte,341
70,Mondrian Suites Berlin Checkpoint Charlie,Berlin,221
71,Motel Plus Berlin,Neukölln,83
72,NH Berlin Alexanderplatz,Berlin,383
73,NH Berlin Kurfürstendamm,Charlottenburg-Wilmersdorf,396
74,NH Collection Berlin Mitte am Checkpoint Charlie,Mitte,375
75,OYO Hotel Bohemia,Neukölln,119
76,Ocak Apartment & Hotel Berlin,Mitte,179
77,Ootel.co,Berlin,37
78,Orania.Berlin,Berlin,414
79,Ostel - Das DDR Design Hostel Berlin,Berlin,51
80,Pension Prenzlberg,Pankow,145
81,Pension Thomas,Berlin,52
82,Regent Berlin,Mitte,480
83,SO/ Berlin Das Stue,Mitte,441
84,Safestay Berlin,Berlin,208
85,Schlosshotel Berlin by Patrick Hellmann,Charlottenburg-Wilmersdorf,428
86,Seminaris CampusHotel Lifestyle + Design Berlin,Berlin,186
87,Sheraton Berlin Grand Hotel Esplanade,Mitte,513
88,Super Berlin Ferienwohnung,Pankow,275
89,TWO Hotel Berlin by Axel - Adults Only,Charlottenburg-Wilmersdorf,142
90,Teikyo Berlin Jugendgästehaus,Berlin,41
91,Teikyo Hotel,Berlin,59
92,The Aga's Hotel Berlin,Berlin,51
93,The Belfort Berlin,Pankow,251
94,The Circus Hostel,Mitte,46
95,The Kater,Berlin,223
96,The Ritz-Carlton,Mitte,468
97,Victor's Residenz-Hotel Berlin,Pankow,228
98,Vienna House Easy Berlin,Pankow,169
99,Wilde Aparthotels by Staycity Berlin Checkpoint Charlie,Mitte,226
100,a&o Berlin Friedrichshain,Berlin,49
101,a&o Berlin Hauptbahnhof,Mitte,112
102,acama Hotel & Hostel Kreuzberg,Berlin,98
103,arabel Design Apartments Berlin,Mitte,277
104,one80º Hostel Berlin,Mitte,34
